"Business Name","VBSC","City","State","Business Website","Business Model","CSA","Food-Hub","Cooperative","Online (Delivery or Pickup)","Legal Structure","National","Regional","State","County","Produce","Dairy","Meat","Eggs","Seafood","Value-Added/ Dry goods","Preserves/ Honey","Health/Nutrition","Fresh","Local","Sustainable/Environment","Fair","Community","Humane (Animal)","AHSF","Education (Consumers)","Education (Farmers)","Commerce/Economics (Local Economy)","Affordability","Transparency","Organic","Accessability"
"Arkansas Valley Organic Growers",1,"Fowler","CO","http://www.headwatersgrowers.coop","CSA; buying club",1,1,1,1,"farmer-owned cooperative",0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
"Ranch Foods Direct LLC",1,"Colorado Springs","CO","http://ranchfoodsdirect.com/",".",0,1,0,1,"LLC",0,0,0,1,0,1,1,0,1,1,1,0,0,1,1,0,0,1,,0,0,0,0,0,0,0
"LoCo Food Distribution",1,"Fort Collins","CO","http://www.locofooddistribution.com/",".",0,1,0,0,"LLC",0,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,1,0
"Homestead Meats",1,"Delta","CO","http://www.homesteadmeats.com/",".",0,0,0,0,".",0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0
"Connecticut Farm Fresh Express, LLC",1,"East Haddam","CT","http://www.ctffe.com/index.htm",".",0,1,0,1,"LLC",0,0,1,0,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
"The Farmer's Cow",1,"Lebanon","CT","http://www.thefarmerscow.com/",".",0,1,0,0,".",0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0
"DC Central Kitchen",1,"Washington","DC","http://www.dccentralkitchen.org/",".",0,1,0,0,".",0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1
"FarmFresh2U",1,"Longwood","FL","http://www.farmfresh2u.us/",".",0,1,0,1,".",1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1
"Red Hill Online Farmers Market",1,"Tallahassee","FL","https://www.rhomarket.com/",".",0,1,0,1,".",0,0,1,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
"New North FL Cooperative",1,"Marianna","FL","http://newnorthfloridacoop.com/index_files/nnfc.htm",".",0,0,1,0,"cooperative",0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"Suncoast Food Alliance",1,"Tampa Bay","FL","http://suncoastfoodalliance.com/",".",,,,0,"LLC",0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,1,0
"Northeast Georgia Locally Grown",1,"Clarksville","GA","http://northeastgeorgia.locallygrown.net/",".",0,1,0,1,".",0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0
"The Turnip Truck",1,"Atlanta","GA","http://www.turniptruckga.com/",".",0,1,0,1,".",0,1,0,0,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0
"Coastal Georgia Small Farmers Cooperative",1,"Glenville","GA","http://www.cgsfc.com/",".",0,0,1,0,"cooperative",0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"Global Growers Network",1,"Avondale Estates","GA","http://www.globalgrowers.org/",".",1,1,0,0,".",0,0,1,0,1,1,0,1,0,1,1,0,0,1,1,0,,0,0,0,1,1,0,0,0,0
"Fulton County Cooperative Fresh Mobile Farmers' Market",1,"Atlanta","GA","http://www.blankfoundation.org/sites/default/files/food-oasis/Fulton%20Fresh%20Mobile%20Farmers%20Market%20Resource%20Letter_v030614.pdf",".",0,1,0,0,".",0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"Oahu Fresh",1,"Honolulu","HI","http://www.oahufresh.com/",,1,1,0,1,"LLC",0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0
"Adaptations, Inc",1,"Captain Cook","HI","http://www.adaptationsaloha.com","CSA",1,1,0,1,".",0,0,1,0,1,0,0,0,0,1,,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
"The Food Basket, Inc",1,"Hilo","HI","http://www.hawaiifoodbasket.org/",".",1,0,0,0,".",0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1
"Iowa Food Cooperative",1,"Des Moines","IA","http://iowafood.coop/",".",0,1,1,1,"cooperative",0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0
"Iowa Valley Food Cooperative",1,"Amana","IA","http://iowavalleyfood.com/",".",0,0,1,1,"cooperative",0,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0
"Grass Run Farms",1,"Dorchester","IA","http://www.grassrunfarms.com/",".",0,1,0,1,".",0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0
"GROWN Locally",1,"Decorah","IA","http://www.grownlocally.com/",".",0,0,1,0,"cooperative",0,1,0,0,1,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0
"Iowa Food Hub",1,"Decorah","IA","http://www.iowafoodhub.com/",".",0,1,0,0,".",0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0
"Annie's Garden and Greens",1,"FT. Atkinson","IA","http://anniesgardensandgreens.com","CSA; roadside stand",1,0,0,0,,0,0,0,1,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0
"Idaho's Bounty Co-op",1,"Garden City","ID","http://idahosbounty.coop","hybrid; farm to consumer (online ordering); farm to business/institution; wholesaler",0,0,1,1,"cooperative",0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0
"Six Rivers Market",1,"Sandpoint","ID","http://www.sixriversmarket.com/",".",0,0,1,0,".",0,0,1,0,1,1,1,1,0,1,1,,,,,,,,,,,,,,,
"Gourmet Gorilla, Inc",1,"Chicago","IL","https://www.gourmetgorilla.com/",".",1,1,0,1,"s corp",0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0
"Irv & Shelly's Fresh Picks",1,"Niles","IL","https://www.freshpicks.com/",".",0,1,0,1,".",0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0
"Angelic Organics Learning Center - Roots and Wings Network",1,"Rockford","IL","http://www.learngrowconnect.org/urban/rockford","education; farm",1,0,0,1,"non-profit",0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,1,0
"Healthy Food Hub",1,"Chicago","IL","http://www.healthyfoodhub.org/",".",1,1,0,0,"non-profit",0,0,1,0,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,0,0,0,1,0,1,0
"Fresh Moves Mobile Produce Market",1,"Chicago","IL","N/A",".",0,1,0,0,".",0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1
"Chicago Local Foods, LLC dba Local Foods",1,"Chicago","IL","http://localfoods.com/",".",0,1,0,0,"LLC",0,1,0,0,1,1,1,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0
"Goodness Greenness",1,"Chicago","IL","http://www.goodnessgreeness.com/eSource/default/Login.aspx?role=customer",".",0,1,0,0,".",0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0
"Stewards of the Land",1,"Fairbury","IL","http://www.thestewardsoftheland.com/",".",0,1,0,0,"LLC",0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"Red Meat Market",1,"Chicago","IL","https://www.redmeatmarket.com/",".",0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"Windcrest Dairy Inc",1,"Trenton","IL","http://windcrestdairy.com/about_us.html",".",0,1,0,0,".",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Good Earth Food Alliance CSA",1,"Farmington","IL","http://www.goodearthfoodalliance.com/",".",1,0,0,0,"LLC",0,0,1,0,1,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"Green B.E.A.N Delivery",1,"Indianapolis","IN","http://greenbeandelivery.com/",".",0,1,0,1,".",0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0
"Hoosier Harvest Market",1,"Greenfield","IN","http://hoosierharvestmarket.com/",".",0,1,0,1,"non-profit",0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"This Old Farm, Inc",1,"Colfax ","IN","http://www.thisoldfarminc.com/",".",0,1,0,0,".",0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,,1,1
"Rolling Prairie Farmers Alliance",1,"Lawrence","KS","http://www.rollingprairie.net/",".",0,0,1,0,".",0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
"Good Natured Family Farms",1,"Bronson","KS","http://www.goodnaturedfamilyfarms.com/",".",1,1,0,0,".",0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"Campbell County Beef Association",1,"Cold Spring","KY","http://www.campbellcountybeef.com/",".",0,0,1,0,"cooperative",0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0
"Grow Farms (Horton Fruit Company)",1,"Louisville","KY","http://www.growfarms.com/",".",0,1,0,0,".",0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"Holly Grove Market and Farm",1,"New Orleans","LA","https://hollygrovemarket.com/",".",0,1,0,1,"LLC",0,1,0,0,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1
"Jack & Jake's, Inc",1,"New Orleans","LA","http://www.jackandjakes.com","hybrid; farm to consumer; farm to business/institution (online ordering)",0,1,0,0,"private",0,1,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1
"Berkshire Organics Delivery",1,"Dalton","MA","http://www.berkshireorganics.com","market; aggregator; home delivery; retail food-hub",0,1,0,1,"family-owned",0,1,0,0,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0
"Massachusetts Local Food Cooperative",1,"Sterling","MA","http://www.masslocalfood.org/",".",0,1,0,1,"c-corp",0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0
"Boston Organics",1,"Charlestown","MA","http://www.bostonorganics.com","aggregator; box scheme; home and office delivery",0,1,0,1,"B-corp",0,1,0,0,1,1,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0
"Common Wealth CSA",1,"Greenfield","MA","http://justroots.org/farm/common-wealth-csa/",".",1,0,1,0,"non-profit",0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0
"OR FoodEx",1,"Lexington","MA","http://orfoodex.com/",".",0,1,0,0,"LLC",0,0,1,0,1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1
"South Shore Organics",1,"Duxbury","MA","http://southshoreorganics.com/",".",0,1,0,0,".",0,0,1,0,1,1,0,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0
"Farm Direct Coop",1,"Marblehead","MA","http://www.farmdirectcoop.org/",".",0,1,0,0,"cooperative",0,1,0,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0
"Red Tomato",1,"Canton","MA","http://www.redtomato.org/","multi-farm direct-to-wholesale food business chains",0,1,0,0,"non-profit",0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0
"Western MA Food Processing Center",1,"Greenfield","MA","http://www.fccdc.org/about-the-center",".",0,1,0,0,".",0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
"Northeast Family Farms, LLC",1,"Woburn","MA","http://www.northeastfamilyfarms.com/",".",0,1,0,0,"LLC",0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0
"Azuluna",1,"North Grafton","MA","http://azulunabrands.com/Contacts/Contacts.html","producer program; distributor",0,1,0,0,"LLC",0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
"Sustainable Nantucket's Farmers & Artisans Market",1,"Nantucket","MA","http://www.sustainablenantucket.org/",".",0,0,0,0,".",0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1
"Friends and Farms ",1,"Columbia","MD","https://www.friendsandfarms.com/",".",0,1,1,1,,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
"Garrett Growers Cooperative, LLC",1,"Oakland","MD","http://www.garrettgrowers.com/",".",1,0,1,1,"LLC",0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Hometown Harvest",1,"Frederick","MD","http://www.hometownharvest.com/home.php",".",0,1,0,1,"LLC",0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0
"Washington's Green Grocer",1,"Capital Heights","MD","https://www.washingtonsgreengrocer.com/",".",0,1,0,1,".",0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"Crown O' Maine Organic Cooperative",1,"North Vassalboro","ME","http://www.crownofmainecoop.com/",".",0,1,1,1,"cooperative",0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1
"World PEAS Marketing Cooperative",1,"Lowell","ME","http://nesfp.org/worldpeas",".",1,1,0,0,".",0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1
"Fresh Start Farms CSA",1,"Portland","ME","https://www.cultivatingcommunity.org/buy-our-produce/fresh-start-farms-csa/",".",1,1,0,0,".",0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"Farm Fresh Connection LLC",1,"Freeport","ME","http://www.farmfreshconnection.org/farm_fresh_CONNECTION/Welcome.html",".",0,1,0,0,"LLC",0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"Northern Girl, LLC",1,"Limestone","ME","http://northerngirlmaine.com/",".",0,1,0,0,"LLC",0,1,0,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"West Michigan Cooperative",1,"Grand Rapids","MI","http://www.westmichigancoop.com/",".",0,0,1,1,".",0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
"Harvest Michigan",1,"Clarkston","MI","http://www.harvestmichigan.com/",".",0,1,0,1,"c-corp",0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0
"Cherry Capital Foods",1,"Traverse City","MI","http://cherrycapitalfoods.com","distributor",0,1,0,0,"LLC",0,0,1,0,1,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0
"Walsma and Lyons",1,"Byron Center","MI","http://walsmalyons.com/",".",0,1,0,0,".",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eastern Market",1,"Detroit","MI","http://www.easternmarket.com/",".",0,1,0,0,".",0,1,0,0,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,,0,0,0
"Co-op Partners Warehouse",1,"St. Paul","MN","http://www.cooppartners.coop/","multi-farm direct-to-consumer business chains",0,1,1,0,".",0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"Sprout MN",1,"Brainerd","MN","http://sproutmn.com/",".",1,1,0,0,".",0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0
"Twin Cities Local Food",1,"Webster","MN","http://www.localfoodmarketplace.com/twincities/",".",0,1,0,0,".",0,0,1,0,1,1,1,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1
"Big River Farms (Minnesota Food Association)",1,"Marine on St. Croix","MN","http://www.mnfoodassociation.org/big-river-farms-csa","multiple farmer CSA",1,0,0,0,"non-profit",0,0,1,0,1,0,0,0,0,0,,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1
"Hmong American Farmers Association",1,"St. Paul","MN","http://www.hmongfarmers.com/",".",0,0,0,0,".",0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0
"Thousand Hills Cattle Company",1,"Cannon Falls","MN","http://www.thousandhillscattleco.com/",".",0,0,0,0,".",0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0
"Lorentz Meats",1,"Cannon Falls","MN","http://www.lorentzmeats.com/","value-added food production",,,,,".",0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0
"Farmer Girl Grassfed & Pasture Raised Meats",1,"Warrenton","MO","http://farmergirlmeats.com/",".",0,1,0,1,".",0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0
"Fields Foods",1,"St. Louis","MO","http://fieldsfoods.com/about-us#.",".",0,1,0,0,".",0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0
"Fresh Food Express, LLC",1,"Kansas City","MO","http://www.freshfoodexpress.com/",".",0,1,0,0,"LLC",0,1,0,0,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0
"Root Cellar",1,"Columbia","MO","http://www.rootcellarmo.com/",".",0,1,0,0,".",0,0,1,0,1,1,1,1,0,0,0,,1,1,1,0,1,0,0,0,0,0,0,0,0,0
"Webb City Farmers Market",1,"Webb City","MO","http://www.webbcityfarmersmarket.com/",".",0,1,0,0,".",0,0,1,0,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
"Eat Here St Louis LLC",1,"St. Louis","MO","http://www.eatherestl.com/",".",0,1,0,0,"LLC",0,1,0,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Beans and Greens Mobile Market",1,"Kansas City","MO","http://beansandgreens.org","SNAP match program at farmers markets",0,0,0,0,"non-profit",0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1
"Indian Springs Farmer Association",1,"Petal","MS","http://www.federationsoutherncoop.com/coopmarket/indianspr.htm","food product aggregation and distribution",0,0,1,0,"cooperative",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Western Montana Growers Cooperative",1,"Arlee","MT","http://wmgcoop.com/",".",1,0,1,0,".",0,0,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
"Quality Foods Distributing",1,"Bozeman","MT","http://www.qfdistributing.com/",".",0,1,0,0,".",0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
"Polk Fresh Foods, Inc",1,"Mill Spring","NC","https://www.polkfreshfoods.com/",".",1,1,0,1,".",0,0,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Down East Connect",1,"Whiteville","NC","http://www.farmersfreshmarket.org/downeast/",".",1,1,0,1,".",0,0,1,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Feast Down East",1,"Burgaw","NC","http://www.feastdowneast.org/",".",0,1,0,1,".",0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1
"GO Local NC Farms, LLC",1,"Concord","NC","https://www.golocalncfarms.com/main/default.aspx",".",0,1,0,1,"LLC",0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
"Community Nutrition Partnership",1,"Durham","NC","http://www.cnpnc.org/",".",0,0,0,1,"non-profit",0,0,1,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1
