Business Name,VBSC,City,State,Latitude,Longitude,Description,Business Website,Business Model,CSA,Food-Hub,Cooperative,Online (Delivery or Pickup),Legal Structure,Mission Statement,National,Regional,State,County,Produce,Dairy,Meat,Eggs,Seafood,Value-Added/ Dry goods,Preserves/ Honey,Value Claims,Health/Nutrition,Fresh,Local,Sustainable/Environment,Fair,Community,Humane (Animal),AHSF,Education (Consumers),Education (Farmers),Commerce/Economics (Local Economy),Affordability,Transparency,Organic,Accessability,Services Provided ,Market Outlets,# of Producers
Relay Foods,1,Charlottesville,VA,38.029306,-78.476678,"We believe it’s good to know where your food comes from, and who made it. We believe the local economy is the bedrock of America – not corporate behemoths. We're here to help you connect to and learn about the people who grow your food, and to empower local producers by providing the online resource for learning about their products and practices. When you shop with Relay, you support your local food economy. We partner directly with our local producers, so there's no middle man getting a cut — just higher profits for the people making your food, which allows them to maintain high standards for their practices",https://www.relayfoods.com/welcome,.,0,1,0,1,.,,0,1,0,0,1,1,1,1,1,1,1,.,1,1,1,1,0,1,1,1,0,0,1,0,0,1,0,.,.,.
Horse and Buggy Produce,1,Charlottesville,VA,38.029306,-78.476678,"Horse & Buggy Produce delivers fresh, local food to Central Virginia subscribers in Lynchburg, Charlottesville, Crozet and Richmond.Drawing from over 100 small family farms, personal vegetable gardens, and fruit orchards in Central Virginia is the key to our bountiful harvest and unbelievable variety. We know you want to feed your family the freshest, most unadulterated produce, meats, eggs, and baked goods available — which is why we work so hard each week to bring these wonderful foods to your table.Many of our growers are members of a Mennonite community in the Shenandoah Valley near Bridgewater. They have been farmers for generations, and their lifestyle still includes horse-drawn carriages for transportation, a choice that limits the distribution of their extraordinary abundance. That’s where we come in. Once a week, our service links your table with their harvest",http://www.horseandbuggyproduce.com/,.,0,1,0,0,.,,0,0,1,0,1,0,1,1,0,1,0,.,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,.,.,.
Local Food Hub,1,Charlottesville,VA,38.029306,-78.476678,"Local Food Hub is a nonprofit organization that partners with Virginia farmers to increase community access to local food. We provide the support services, infrastructure, and market opportunities that connect people with food grown close to home. Local Food Hub’s partner farms represent the bounty and diversity of the Virginia foodshed. Some operate 100 acre farms, others less than five acres. They are certified organic and conventional farmers, orchardists and value added producers, and those new to farming as well as seasoned veterans",http://localfoodhub.org,Farm to business/institution model; distribution; educational farm,0,1,0,0,non-profit,"Local Food Hub is a nonprofit organization that partners with Virginia farmers to increase community access to local food. We provide the support services, infrastructure, and market opportunities that connect people with food grown close to home",0,0,1,0,1,1,1,1,0,1,1,"""offer a smarter, healthier alternative to traditional agribusiness models by reinstating small farms as the food source for the community""",1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,"production planning, networking, marketing assistance; and educational opportunities such as farm worker training, workshops, and an incubator plot program; food access","Institutions, schools, restaurants, supermarkets, retail operations, caterers, buying clubs, nonprofits, food banks",75
Chesterhill Produce Auction,1,Chesterhill,OH,39.488406,-81.865971,"“The Chesterhill Produce Auction is a food hub managed by Rural Action located just outside the Village of Chesterhill in Morgan County. Each season the auction serves thousands of customers from throughout Appalachian Ohio, as well as customers in West Virginia and other parts of Ohio. Hundreds of growers utilize the auction as a place to sell their locally grown produce at wholesale to other businesses in the region, including restaurants, schools, hospitals, pop-up markets in rural areas with limited fresh food access, plus individual buyers who can and preserve.",http://www.ohiofoodshed.org/chesterhill/,auction,0,1,0,0,.,,0,1,0,0,1,0,0,0,0,0,0,.,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,.,.,.
Northwest Farm Fresh,1,Chewelah,WA,48.276287,-117.715521,No evidence of inclusion and exclusion,N/A,.,0,1,0,1,.,,0,0,1,0,1,1,1,1,0,1,1,.,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,.,.,.
"Gourmet Gorilla, Inc",1,Chicago,IL,41.875555,-87.624421,"To strive for a sustainable future for our children by providing local and sustainable school lunches and healthier eating options. We are committed to working with community partners to provide solid nutrition for all children in order to help them learn and grow. Collaborating within regional food systems around the Chicago food shed, Gourmet Gorilla works with food hubs, rural farmers, urban agriculturalists, dietitians, nutritionists, talented chefs, and organic food manufacturers. We provide quality ingredients as well as connections and partnerships to educational resources on healthy food curriculum, the value of fresh healthy and sustainable food, garden projects, and ecological awareness. Gourmet Gorilla™ obtains its produce from local, sustainable, and gap certified purveyors, our meats are free range, grass fed and all natural, and they have not been subjected to artificial growth hormones and antibiotics, or artificial preservatives; Gourmet Gorilla™ avoids GMO where possible and is a peanut and tree nut free facility. Our kitchen is constantly working towards becoming a zero waste kitchen, with a composting program, recycling program, and delivery via environmentally responsible vehicles. Schools that switch to us not only obtain better nutrition and safer food, but also help the local economy, promote food security, and encourage environmental responsibility.",https://www.gourmetgorilla.com/,.,1,1,0,1,s corp,,0,1,0,0,1,1,1,1,1,1,1,.,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,.,.,.
Healthy Food Hub,1,Chicago,IL,41.875555,-87.624421,"To do what is best for our bodies, we must eat as close to 100% organic to rid ourselves of mounting environmental toxins, take in the highest nutrients, and prevent disease.",http://www.healthyfoodhub.org/,.,1,1,0,0,non-profit,,0,0,1,0,1,0,1,1,0,1,1,.,1,0,1,1,0,1,1,1,0,0,0,1,0,1,0,.,.,.
Fresh Moves Mobile Produce Market,1,Chicago,IL,41.875555,-87.624421,"Not enough information on the mobile market, but what was received implied it is a mobile produce market delivering to low-income areas,…not much evidence of VBSC.",N/A,.,0,1,0,0,.,,0,0,0,1,1,0,0,0,0,0,0,.,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,.,.,.
"Chicago Local Foods, LLC dba Local Foods",1,Chicago,IL,41.875555,-87.624421,"Local Foods is Chicago’s first wholesale distributor and retailer of strictly local foods from the Midwest’s best farmers. Working on and around farms, we learned that locally grown foods are fresher, taste better, support the community and are better for the environment. Local Foods aims to revive and strengthen our local food system and infrastructure. Our approach helps ease the burden of sales, logistics, delivery and other non-farming hassles for farmers, and provides an economically viable market for their products. By buying directly from farmers and farm hubs, we support local communities and increase transparency. With Local Foods you’ll know the source for every product you enjoy.",http://localfoods.com/,.,0,1,0,0,LLC,,0,1,0,0,1,1,1,1,0,1,0,.,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,.,.,.
Goodness Greenness,1,Chicago,IL,41.875555,-87.624421,"Goodness Greeness is the Midwest’s leading source for fresh, organic produce and the largest privately held organic distributor in the country. We directly supply over 300 stores that include the region’s largest supermarkets and independent retailers. We are committed to supplying our customers with the finest organic food from around the world, while at the same time furthering purchases from the Midwest’s small and medium sized, local organic farmers. Goodness Greeness is committed to supplying its customers with the finest organic food from around the world, while at the same time furthering its purchases from the Midwest’s small-scale organic farmers. Since 1991 Goodness Greeness has collaborated in all sectors of the organic marketplace to strengthen the infrastructure and facilitate the growth of the organic food system. The local and regional farmers that deliver the freshest and most delicious product to our region are a vital part of this system, and their way of farming is an invaluable component of a better future",http://www.goodnessgreeness.com/eSource/default/Login.aspx?role=customer,.,0,1,0,0,.,,0,1,0,0,1,0,0,0,0,0,0,.,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,.,.,.
Red Meat Market,1,Chicago,IL,41.875555,-87.624421,"Established in 1997, and located in Plainville, Massachusetts, Red Tomato is an ambitious non-profit that works its heart out to deliver fresh, great tasting produce while cultivating a more sustainable, ethical food system. Rooted in fair trade, Red Tomato strives to bring fairness, transparency and sustainability to every aspect of the way we do business — including stewardship of the earth, equitable and safe treatment of farmers and workers, wide access to affordable and healthy food, and the financial well-being of both Red Tomato and the farms in our network. Through years of experience, Red Tomato has developed innovative, lean systems that rely on existing wholesale distribution to enable our small organization to deliver everything from apples to zucchini to local grocery stores, produce distributors, neighborhood restaurants, schools and colleges across the Northeast — at an affordable price",https://www.redmeatmarket.com/,.,0,1,0,0,0,,0,0,0,1,0,0,1,0,0,0,0,.,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,.,.,.
"YCGrown, the Yavapai County Farmers & Ranchers Cooperative",1,Chino Valley,AZ,34.757523,-112.453781,"YCGrown is a non-profit, agricultural co-op dedicated to increasing the availability of locally-produced food in Yavapai County, Arizona. YCGrown is a designated food hub--the only one in Northern Arizona!  This means the Co-op is an aggregator: we collaborate with farmers and ranchers in the county to promote local food, market their products, receive the products when they're harvested and then distribute them to customers countywide. Our mission is to promote Yavapai County agriculture by connecting local growers and producers with their customers so that each may benefit from the incredible array of foods that are produced here. YCGrown is a designated food hub--the only one in Northern Arizona!  This means the Co-op is an aggregator: we collaborate with farmers and ranchers in the county to promote local food, market their products, receive the products when they're harvested and then distribute them to customers countywide. Small and start-up growers often struggle with the many demands of farming and ranching. Too often, we saw talented growers and producers struggling or even quitting the business because there just wasn’t enough time to do it all: raising the crops and livestock, marketing and selling, distribution and more, all on thin margins. We believe that a strong, diverse agricultural base is important for our community. We feel that everyone, including our children, schools, environment and economy, benefits from nutritious, sustainably raised and locally grown food. Membership is open to any farm or ranch in Yavapai County that commits to using sustainable, humane, water-conserving, pesticide-free growing methods, and to producing high-quality meat, poultry, eggs, fruit, vegetables, honey and prepared goods. Members utilize Good Handling Practices and Good Agricultural Practices in coordination with state and local regulatory agencies.  Members also pledge to work cooperatively so that all may benefit from the group effort. Currently, the Co-op works with approximately 20 member farms and ranches across the county.  Check out our Producers Gallery to see them in action!  We'll add more photos as the season takes shape",http://www.ycgrown.com/,.,0,1,0,1,non-profit,,0,0,1,0,1,0,0,0,0,0,0,,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,.,.,.
Harvest Michigan,1,Clarkston,MI,42.708641,-83.439663,no inclusion or exclusion; no production practices required.,http://www.harvestmichigan.com/,.,0,1,0,1,c-corp,,0,0,1,0,1,1,1,1,0,1,1,.,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,.,.,.
Northeast Georgia Locally Grown,1,Clarksville,GA,38.296736,-85.759963,"Require that growers not use synthetic fertilizers or pesticides. Locally Grown is an internet based farmers market that creates a unique way to make fresh, local and sustainable foods more accessible to citizens of Northeast Georgia. As a result we hope to encourage more producers to make a living from farming and food production. All the products you find on this site are produced right here in Northeast Georgia (primarily Rabun, Habersham, White and adjacent counties). All of the growers are committed to chemical free farming and follow strict standards to ensure that all the vegetables, herbs, milled products, dairy, eggs, meats, flowers, and transplants are produced using sustainable production practices",http://northeastgeorgia.locallygrown.net/,.,0,1,0,1,.,,0,1,0,0,1,1,1,1,0,1,1,.,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,.,.,.
Campbell County Beef Association,1,Cold Spring,KY,39.021728,-84.439941,"With this statement on website, don’t see how it relates to a VBSC. Yes hormone and anti-biotic free, but is that enough justification. “With the help of the Campbell County Extension Service, local beef producers recently developed the Campbell County Beef Association which is direct marketing freezer beef to local consumers.  This newly formed cooperative is selling all natural, locally grown, no added hormone and antibiotic-free beef.",http://www.campbellcountybeef.com/,.,0,0,1,0,cooperative,,0,0,1,0,0,0,1,0,0,0,0,.,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,.,.,.
North Country Farmers Coop,1,Colebrook,NH,44.894492,-71.495918,"The goal of the co-op is to fuel economic development in the North Country literally from the ground up. By increasing the markets for locally grown and consumed food from small backyard farms, the co-op hopes to build the farms into commercial enterprises, forming an agricultural economy that fuels the hospitality and tourism industries in the region. This, in turn, will create opportunities for many different groups and industries to grow and prosper.  Eating locally grown wholesome food is also a basic tenant of health, and eventually the co-op hopes to make a big impact on the health of the residents and guests of the North Country by making healthy food from healthy farms available to all. NCF Coop has developed an efficient delivery system to service the northernmost farms and their customers with vegetables, herbs, berries, beef, pork, chicken, maple syrup, honey, eggs, and value-added items such as jams and pickles. he co-op currently services Northern New Hampshire establishments and institutions including restaurants, hotels, schools, hospitals along a 250 mile pick-up and delivery route.  Expansion of markets to the New England region is being considered as an opportunity to build farm production to an economy of scale that will create the environment whereby small New England family farms can provide a living wage to their owners. We want to hear from you regarding your experience with us to help us plan our future to meet our vision of bringing products to you that are simply Fresh and Local. Our mission is to provide marketing, sales, and delivery services to local farmers and food producers, that provides a means for local vendor profitability that will fuel the growth of the North Country’s economic, agricultural, and environmental sustainability, and will contribute to the overall health of people in the North Country – from the ground up – literally",http://ncfcoop.com/,.,0,0,1,1,cooperative,,0,1,0,0,1,1,1,1,0,0,1,.,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,.,.,.
"This Old Farm, Inc",1,Colfax ,IN,46.880166,-117.364349,"Welcome to This Old Farm’s Website! Here we strive to bring you the information needed to make local, sustainably grown food products as accessible as possible. This Old Farm was first started in 2000 to bring good, clean food to area families from Erick and Jessica Smith’s 88 acre farm. We continue to do that today. We are small enough to care about each and every family. In an effort to make good food more accessible, we have now expanded to process locally raised meats and to represent 20 different farms through a farm alliance so that we can bring clean, local food to not only our traditional retail families but to commercial markets as well. Through the alliance, we are large enough to supply your commercial, school, or wholesale needs for good, locally raised foods. We believe in creating food security by ensuring that we support local producers. Our chicks and feed are produced locally.  We are constantly working with other local growers to expand our sustainable farm offerings while ensuring that   you know who is producing your food",http://www.thisoldfarminc.com/,.,0,1,0,0,.,,0,0,1,0,1,1,1,1,0,1,1,.,0,0,1,1,0,0,1,1,0,0,0,0,,1,1,.,.,.
Ranch Foods Direct LLC,1,Colorado Springs,CO,38.833958,-104.825348,"Ranch Foods Direct is a meat packing facility and local farmer's retail market delivering healthful, high quality, naturally tender meats and foods to consumers direct from the ranch. Our goal is to foster a business that benefits both ranchers and consumers. Our processing and distribution systems assures incomparable quality, wholesomeness, eating satisfaction, and a mutually rewarding relationship of trust and responsibility between the rancher and you the customer.",http://ranchfoodsdirect.com/,.,0,1,0,1,LLC,,0,0,0,1,0,1,1,0,1,1,1,.,0,0,1,1,0,0,1,,0,0,0,0,0,0,0,.,.,.
Friends and Farms ,1,Columbia,MD,39.215621,-76.858205,"Friends & Farms offers a new way to buy food from regional farmers and producers. Each week we select the freshest items from the season's bounty, including meats, seafood, dairy, bread and fruits and vegetables, and build a basket of groceries for your table. Our baskets include the ingredients for wholesome, delicious meals and are available in different sizes to suit your needs. We offer you high value and quality at a fair price – all while supporting our regional food producers. Every week, we choose the freshest, seasonal produce, meat, seafood and dairy from our network of regional suppliers. We then package your basket of foods, transport it to a location near you on one of our chilled trucks, and give you a convenient time to collect it. The Large and Small baskets contain a two items of protein (poultry, pork, beef or seafood), some wholesome vegetables and fruits, a bit of dairy, and a loaf of bread every week. We also have Large and Small Lean Protein options, which include poultry and seafood every week as the two protein selections.” IPM and Antibiotic free required. ",https://www.friendsandfarms.com/,.,0,1,1,1,,,0,1,0,0,1,1,1,1,1,1,1,.,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,.,.,9
Root Cellar,1,Columbia,MO,38.951883,-92.333737,"Our mission is to support Missouri's diverse farmers and artisan food producers by providing a high-quality outlet for consumers. The Root Cellar is home to Missouri's bounty of fresh vegetables, fruit, meats, eggs, dairy, dried goods and canned goods. Our products tell the story of Missouri's farmers: rice from the Bootheel, bacon and beef from the plains, and salad greens from the rolling hills of the Missouri River. In addition, we carry a limited number of fair trade products from outside the state that local food consumers demand. Please visit us in person to learn more about the products available through our marketing system",http://www.rootcellarmo.com/,.,0,1,0,0,.,,0,0,1,0,1,1,1,1,0,0,0,.,,1,1,1,0,1,0,0,0,0,0,0,0,0,0,.,.,.
Columbus Food Hub,,Columbus,OH,39.96226,-83.000706,"More of a community processing facility. “The Columbus Food Hub's goals are to service food businesses, food trucks and carts, to offer a 12,000 sq. ft fully inspected food processing plant, up to 20 food cart/truck parking spaces, a full commercial kitchen, cooler space, freezer space, dry storage space, further meat and seafood processing, further cooked meat processing, grinding, tenderizing, bandsawing and packaging as well as free business consulting, free meat-cutting demonstrations and free advertising to its members",http://www.thecolumbusfoodhub.com/,.,,,,,.,,,,,,,,,,,,,.,,,,,,,,,,,,,,,,.,.,.
"GO Local NC Farms, LLC",1,Concord,NC,35.408752,-80.579511,"We strive to provide products that come straight from the producers to you and are free from hormones, antibiotics, preservatives, GMO's and Pesticides and offer Certified Organic options whenever possible.",https://www.golocalncfarms.com/main/default.aspx,.,0,1,0,1,LLC,,0,0,1,0,1,1,1,1,0,1,1,.,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,.,.,.
Berkshire Organics Delivery,1,Dalton,MA,42.473696,-73.166214,Market and Delivery structure that is similar to Good Foods in that it sources all different types of products (kind of like a Whole Foods as well) as well as trying to stick to organic and some local products. Does source from a lot of regional farms across several states. Exemplifies that of a Food-Hub but I don’t know about VBSC.  Both local and non-local,http://www.berkshireorganics.com,market; aggregator; home delivery; retail food-hub,0,1,0,1,family-owned,,0,1,0,0,1,1,1,1,0,1,1,"certified organic or locally, sustainably produced",0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,online ordering; home deliveries; school deliveries; food pantry deliveries,.,.
Swanton Berry Farm,1,Davenport,CA,37.011617,-122.191913,Not sure because it is a single farm and not a collection or chain of farms,http://www.swantonberryfarm.com/,primary food producers and harvesters,0,0,0,0,.,,0,0,1,0,1,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,.,.
Miami Valley Farm to Chef,1,Dayton,OH,39.758948,-84.191607,"No inclusion/exclusion. Miami Valley Farm to Chef is a new service connecting chefs, grocers and other culinary institutions with local farms and orchards to bring you the freshest produce available. The vision of Miami Valley Farm to Chef is to facilitate the movement of fresh, locally grown produce from farms and orchards to restaurant kitchens and grocery produce displays. After all, we live in one of the most productive agricultural states in the US. Access to our wonderful bounty should be easier. We sell fresh, seasonal, locally grown produce. We also grow some produce year round in greenhouses. Our growers raise over 80 varieties of vegetables, herbs, and fruits",http://www.mvfarmtochef.com/,.,0,1,0,0,.,,0,1,0,0,1,0,0,0,0,0,0,.,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,.,.,.
GROWN Locally,1,Decorah,IA,43.303306,-91.785709,"We are a cooperative of 30 local member farms.  With access to our member's products and other local producers that we work with, we can bring you a wide variety of locally produced food. We are happy to deliver within a 6 county region in Northeast Iowa, Southeast Minnesota and parts of Western Wisconsin. Choosing locally produced foods allows you to directly support the local economy and help local producers diversify and strengthen their farms. We are devoted to the concept that fresh, high quality food should be available to everyone at a reasonable cost. And, we are avid proponents of sustainable agriculture as a way to provide that food while allowing the farmers to make a decent living and diversify the income from their farms. Some of the farms are certified organic, while others are not. The non-organic farms agree to raise their crops with the absolute minimum of chemical fertilizers, pesticides and herbicides, and most do not use any. The Cooperative is not certified as an organic handler and does not sell any product as ‘organic’",http://www.grownlocally.com/,.,0,0,1,0,cooperative,,0,1,0,0,1,0,1,1,0,1,1,.,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,.,.,.
Iowa Food Hub,1,Decorah,IA,43.303306,-91.785709,"The Iowa Food Hub (IFH) is a local food distribution business based in West Union, Iowa.  Established as a means to facilitate development of the regional food system, IFH programming focuses on food access and equality, small- and medium-sized farm viability, beginning farmers, local economic development, and food system research and education. The policy evaluates farms and local food businesses that supply IFH on their fit in three scopes –location, production practices and social and environmental impact.  The scopes graduate from a required, base-tier to additional characteristics in the mid- and top-tiers. “The base-tier is pretty inclusive to any farmer interested in marketing local food products,” said Nick Mabe, IFH Coordinator.  “That’s the mission of the NE Iowa Food and Farm Coalition – to create opportunities for farmers to engage in the local food system.",http://www.iowafoodhub.com/,.,0,1,0,0,.,,0,0,1,0,1,1,1,1,0,1,1,.,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,.,.,.
Homestead Meats,1,Delta,CO,38.742206,-108.068958,"At Colorado Homestead Ranches, we pride ourselves in having complete control of the entire production process. This traceability, from our ranches to the consumer, ensures that we produce the highest quality meat products. Homestead Ranches: Our group of six family ranches that raise high quality cattle without antibiotics, without added hormones and without animal by-products. The North Fork Valley of Western Colorado offers abundant resources for the production of healthy livestock--clean mountain water, fresh air, abundant grass and over 300 days of sunshine. By coupling these resources with many generations of ranching “know-how”, we create a low-stress environment in which cattle thrive.  This is precisely how we can naturally raise the high quality livestock that we do",http://www.homesteadmeats.com/,.,0,0,0,0,.,,0,0,0,1,0,0,1,0,0,0,0,.,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,.,.,.
Cross Timbers Food Cooperative,1,Denton,TX,33.173474,-97.234816,"The Cross Timbers Food Cooperative is committed to developing a self-reliant, self-empowering community, by offering a retail exchange to the North Texas region for goods and services which are grown, produced, traded, and distributed locally, in a sustainable, equitable, and responsible manner. We engage in sound ethical business practices as we treat members, vendors, suppliers, volunteers, and the community fairly, honestly, and responsibly. We will expect those with whom we conduct business to do the same. We operate our coop autonomously, independently, efficiently, and transparently; and pledge to maintain a supportive environment that fosters goodwill, cooperation, and participation among our members, staff, other cooperatives, and the community at large. We value the opinions and voices of all our members.” http://www.crosstimberscoop.org/standards.php (standards)",http://www.crosstimberscoop.org/,.,0,0,1,1,cooperative,,0,0,1,0,1,0,1,1,0,0,1,.,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,.,.,.
High Plains Food Coop,,Denver,CO,39.739154,-104.984703,"Not sure since no production practices required, no inclusion/exclusion. HPFC is a grassroots network of High Plains and Rocky Mountain Front Range producers and consumers uniting interests in locally grown food and other locally made products. The HPFC strives to be a business that is environmentally sustainable, economically viable, and socially just. To foster a local food community and promote a culture of stewardship by cultivating farmer-consumer relationships, promoting the enjoyment of healthful food, increasing food security through diversity, and enhancing overall rural sustainability.",http://www.highplainsfood.org,retail exchange; aggregator; delivery,,,,,producer-consumer cooperative,"""The High Plains Food Cooperative strives to be a business that is environmentally sustainable, economically viable, and socially just.""",,,,,1,,0,1,0,1,,local food community; stewardship; farmer-consumer relationships; food security; rural sustainability,,,,,,,,,,,,,,,,online ordering system; consumer pick up locations; basic screening of products and producers ,.,.
Iowa Food Cooperative,1,Des Moines,IA,41.591064,-93.603715,"No inclusion/exclusion criteria. We help protect Iowa’s air, water, soil and wildlife by supporting farming practices that enhance the environment. 85% of what you pay for the foods you buy goes straight to our farmer-owners. We review that info and determine if you are eligible (meaning basically that you are from Iowa, you produce what you want to sell, and you have the appropriate licenses for things like eggs or processed products).",http://iowafood.coop/,.,0,1,1,1,cooperative,To facilitate farmer-consumer relationships and build our farms and communities through web-based marketing of primarily Iowa products.,0,0,1,0,1,1,1,1,1,1,1,.,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,.,.,.
Eastern Market,1,Detroit,MI,42.348664,-83.056737,No inclusion/exclusion,http://www.easternmarket.com/,.,0,1,0,0,.,,0,1,0,0,1,1,1,1,0,1,1,.,0,0,1,0,0,1,0,0,0,0,0,,0,0,0,.,.,.
Grass Run Farms,1,Dorchester,IA,43.469694,-91.510974,"Grass Run Farms, founded and run by Ryan and Kristine Jepsen, is a regional meat company representing sustainable family farms in the bluff country of Northeast Iowa and across the Upper Midwest. Our mission is to make high-quality affordable, pasture-based meats accessible to anyone interested in healthy food and communities. Grass Run Farm is owned and managed by beef producers who run sustainable family farms. We also market high-quality beef and pork from many families across the Upper Midwest. Transparency is our trademark. We utilize affidavits to trace animals back to the pastures and farms they were raised on. Our animals are never given antibiotics or added growth hormones and are fed a 100% vegetarian diet",http://www.grassrunfarms.com/,.,0,1,0,1,.,,0,1,0,0,0,0,1,0,0,0,0,.,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,.,.,.
Community Nutrition Partnership,1,Durham,NC,35.994033,-78.898619,"Community Nutrition Partnership's Mission is to grow healthier communities by increasing access to fresh, local, affordable food. We use market-based approaches to increase access to healthy, local food for people of all incomes and backgrounds.",http://www.cnpnc.org/,.,0,0,0,1,non-profit,,0,0,1,0,1,0,0,0,0,1,1,.,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,.,.,.
"Firsthand Foods, LLC",1,Durham,NC,35.994033,-78.898619,"Firsthand Foods connects North Carolina’s pasture-based livestock producers with local food lovers, restaurants, food service providers, and retailers.  We source from a network of remarkable farmers who raise their animals humanely, on pasture, without feeding antibiotics or animal by-products, or using added hormones.  We do the legwork necessary to get a consistent selection of quality local meats into local markets",http://firsthandfoods.com,hybrid; farm to consumer (box delivery); farm to business/institution,0,1,0,0,LLC,,0,0,1,0,0,0,1,0,0,0,0,"farmers who raise their animals humanely, on pasture, without feeding antibiotics or animal by-products, or using added hormones",0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,"educational opportunities for producers to increase their capacity; grant writing and fundraising support for supply chain partners; branding and messaging to increase the demand for local, pasture-raised beef and pork","Universities, restaurants, specialty grocers, CSA-like Meat Box and mobile food truck",25
South Shore Organics,1,Duxbury,MA,42.04177,-70.672259,"Family owned South Shore Organics offers a convenient service delivering fresh local and organic produce to conscientious residents who want a food source they can trust. Everything is certified organic, or locally sustainably grown. There is no commitment, order anytime",http://southshoreorganics.com/,.,0,1,0,0,.,,0,0,1,0,1,1,0,1,0,1,1,.,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,.,.,.
"Connecticut Farm Fresh Express, LLC",1,East Haddam,CT,41.453155,-72.461198,"We run this service – FARM TO YOU – all year long as long as we can find CT grown and manufactured goods.  We are out there gathering it for you.  We are the link between you and the farms of CT. Last year alone, $180,000 worth of Connecticut farm product was distributed to consumers like yourself by the CTFFE staff. In 2013 CTFFE has renewed its commitment to organic, farmer's pledge and non-GMO products that you would not be able to obtain in a big box store or farmers market.",http://www.ctffe.com/index.htm,.,0,1,0,1,LLC,,0,0,1,0,1,1,1,1,0,1,1,.,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,.,.,49
Tri-County Cooperative,1,East Windsor ,NJ,40.2678,-74.5403,"Saw no evidence of inclusion/exclusion. A cooperative of New Jersey growers of fresh produce, nursery stock, flowers and garden plants. Our location is situated in the center of the state to serve and supply crops for both the Philadelphia and New York markets.  The location connects Tri-County with over 75 local farms that offers the freshest high quality produce that is available.  Our nursery’s offer a wide range of shrubs, bushes, plants and flowers.  As the seasons change we offer mums, pumpkins, corn stalks, hay bales and straw.   The market is directed to wholesale buyers for local food stores, restaurants, roadside stands, farm markets and distributors.  Also, for anyone who uses fresh fruits and vegetables for canning, freezing and preserving is welcome to buy at the wholesale price",http://www.tricountycoop.net/,.,0,0,1,0,.,,0,1,0,0,1,0,0,0,0,0,,.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,.,.,.
Eden Valley Growers,1,Eden,NY,42.652282,-78.896978,No inclusion/exclusion criteria,http://edenvalleygrowers.com/,.,0,0,1,0,cooperative,,0,1,0,0,1,0,0,0,0,0,0,.,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.
"Centro Obrero del Fronterizo, Inc dba La Mujer Obrera",,El Paso,TX,31.811131,-106.501349,"Our mission is to develop and use our creative capacity to express the dignity and diversity of our Mexican heritage, from indigenous Mesoamerican roots to contemporary expressions, and to develop and celebrate our community through economic development, community building, community health and civic engagement. We provide nutrition classes and cooking workshops to community members, both youth and adults, in English and Spanish. We designed a mobile cooking cart, which we use to conduct cooking demonstrations and provide community members with samples and recipes at various neighborhood events.",http://www.mujerobrera.org/,.,0,0,0,0,.,,0,0,0,1,1,0,0,0,0,0,0,.,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,.,.,.
