Business N,VBSC,City,State,Business W,Business M,CSA,Food-Hub,Cooperativ,Online (De,Legal Stru,National,Regional,County,Produce,Dairy,Meat,Eggs,Seafood,Value-Adde,Preserves/,Health/Nut,Fresh,Local,Sustainabl,Fair,Community,Humane (An,AHSF,Education,Commerce/E,Affordabil,Transparen,Organic,Accessabil,addrtype,addrlocat,lon,lat
Capay Valley Farm Shop,1,Esparto,CA,http://capayvalleyfarmshop.com/,,1,1,0,1,.,0,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-122.02137,38.69459
Tahoe Food Hub,1,Truckee,CA,http://www.tahoefoodhub.org/,.,0,1,0,0,non-profit,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,-120.18325,39.32796
Village Market Place,1,Los Angeles,CA,http://csuinc.org/programs/village-market-place/,.,0,1,0,0,.,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,-118.24394,34.05439
Mandela Marketplace,1,Oakland,CA,http://www.mandelamarketplace.org/#!madelafoods/cs4q,.,0,1,0,0,non-profit,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,-122.27136,37.80446
Agriculture and Land-Based Training Association (ALBA) Organics,1,Salinas,CA,http://www.albafarmers.org,distributor; wholesaler; farm-to-business/institution,0,1,0,0,non-profit,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,-121.65601,36.67771
Veritable Vegetable,1,San Francisco,CA,http://www.veritablevegetable.com/,.,0,1,0,0,b corp,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,-122.41924,37.77928
Harvest Santa Barbara,1,Santa Barbara,CA,http://www.harvestsantabarbara.com/,.,0,1,0,0,.,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,-120.482,34.87379
Sonoma Organics,1,Sebastopol,CA,http://www.sonomaorganics.com/,.,0,1,0,0,s corp,0,0,1,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,-122.82388,38.40214
Ojai Pixie Growers Association,1,Ojai,CA,http://www.ojaipixies.com/,.,0,1,0,0,.,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,-119.24289,34.44805
New Roots Food Hub at the International Rescue Committee (IRC),1,San Diego,CA,http://www.rescue.org/us-program/us-san-diego-ca/food-hub,.,0,1,0,0,.,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,-117.16277,32.71742
f.e.e.d Sonoma,1,Sebastopol,CA,http://feedsonoma.com/,.,0,1,0,0,.,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,-122.82388,38.40214
Inland Orange Conservancy (Old Grove Oranges),1,Mentone,CA,http://oldgrovefarmshare.com/,.,0,1,0,0,.,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,-117.10961,34.05884
"South Central Farmers Cooperative, LLC",1,Sun Valley,CA,https://www.southcentralfarmers.com/,.,1,0,0,0,.,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,-118.37036,34.2175
Phat Beets Produce,1,Oakland,CA,http://www.phatbeetsproduce.org/,.,1,0,0,0,.,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,-122.27136,37.80446
Swanton Berry Farm,1,Davenport,CA,http://www.swantonberryfarm.com/,primary food producers and harvesters,0,0,0,0,.,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,-122.19511,37.0107
Santa Monica Farmers Markets,1,Santa Monica,CA,http://www.smgov.net/portals/farmersmarket/,.,,,,,.,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,-118.48697,34.01956
Arkansas Valley Organic Growers,1,Fowler,CO,http://www.headwatersgrowers.coop,CSA; buying club,1,1,1,1,farmer-owned cooperative,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,-87.32085,40.6167
Ranch Foods Direct LLC,1,Colorado Springs,CO,http://ranchfoodsdirect.com/,.,0,1,0,1,LLC,0,0,0,1,0,1,1,0,1,1,1,0,0,1,1,0,0,1,,0,0,0,0,0,0,0,-104.82535,38.83396
LoCo Food Distribution,1,Fort Collins,CO,http://www.locofooddistribution.com/,.,0,1,0,0,LLC,0,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,1,0,-105.10259,40.56626
Homestead Meats,1,Delta,CO,http://www.homesteadmeats.com/,.,0,0,0,0,.,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,-108.06896,38.74221
"Connecticut Farm Fresh Express, LLC",1,East Haddam,CT,http://www.ctffe.com/index.htm,.,0,1,0,1,LLC,0,0,1,0,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,-72.4612,41.45315
The Farmer's Cow,1,Lebanon,CT,http://www.thefarmerscow.com/,.,0,1,0,0,.,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,-72.21258,41.63621
DC Central Kitchen,1,Washington,DC,http://www.dccentralkitchen.org/,.,0,1,0,0,.,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,-77.03665,38.89495
FarmFresh2U,1,Longwood,FL,http://www.farmfresh2u.us/,.,0,1,0,1,.,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,-81.34928,28.70072
Red Hill Online Farmers Market,1,Tallahassee,FL,https://www.rhomarket.com/,.,0,1,0,1,.,0,0,1,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,-84.35725,30.53657
New North FL Cooperative,1,Marianna,FL,http://newnorthfloridacoop.com/index_files/nnfc.htm,.,0,0,1,0,cooperative,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,-85.22687,30.77436
Suncoast Food Alliance,1,Tampa Bay,FL,http://suncoastfoodalliance.com/,.,,,,0,LLC,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,1,0,-82.57232,27.68864
Northeast Georgia Locally Grown,1,Clarksville,GA,http://northeastgeorgia.locallygrown.net/,.,0,1,0,1,.,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,-85.76021,38.29678
The Turnip Truck,1,Atlanta,GA,http://www.turniptruckga.com/,.,0,1,0,1,.,0,1,0,0,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,-84.39018,33.7491
Coastal Georgia Small Farmers Cooperative,1,Glenville,GA,http://www.cgsfc.com/,.,0,0,1,0,cooperative,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,-81.61734,41.53331
Global Growers Network,1,Avondale Estates,GA,http://www.globalgrowers.org/,.,1,1,0,0,.,0,0,1,0,1,1,0,1,0,1,1,0,0,1,1,0,,0,0,0,1,1,0,0,0,0,-84.26714,33.77149
Fulton County Cooperative Fresh Mobile Farmers' Market,1,Atlanta,GA,http://www.blankfoundation.org/sites/default/files/food-oasis/Fulton%20Fresh%20Mobile%20Farmers%20Market%20Resource%20Letter_v030614.pdf,.,0,1,0,0,.,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-84.39018,33.7491
Oahu Fresh,1,Honolulu,HI,http://www.oahufresh.com/,,1,1,0,1,LLC,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,-157.85568,21.30455
"Adaptations, Inc",1,Captain Cook,HI,http://www.adaptationsaloha.com,CSA,1,1,0,1,.,0,0,1,0,1,0,0,0,0,1,,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,-155.91154,19.492
"The Food Basket, Inc",1,Hilo,HI,http://www.hawaiifoodbasket.org/,.,1,0,0,0,.,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,-155.47417,19.82666
Iowa Food Cooperative,1,Des Moines,IA,http://iowafood.coop/,.,0,1,1,1,cooperative,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,-93.55667,41.54097
Iowa Valley Food Cooperative,1,Amana,IA,http://iowavalleyfood.com/,.,0,0,1,1,cooperative,0,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,-91.87073,41.80001
Grass Run Farms,1,Dorchester,IA,http://www.grassrunfarms.com/,.,0,1,0,1,.,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,-91.51097,43.46969
GROWN Locally,1,Decorah,IA,http://www.grownlocally.com/,.,0,0,1,0,cooperative,0,1,0,0,1,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,-91.78571,43.30331
Iowa Food Hub,1,Decorah,IA,http://www.iowafoodhub.com/,.,0,1,0,0,.,0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,-91.78571,43.30331
Annie's Garden and Greens,1,FT. Atkinson,IA,http://anniesgardensandgreens.com,CSA; roadside stand,1,0,0,0,,0,0,0,1,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,-91.93266,43.14331
Idaho's Bounty Co-op,1,Garden City,ID,http://idahosbounty.coop,hybrid; farm to consumer (online ordering); farm to business/institution; wholesaler,0,0,1,1,cooperative,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,-116.23818,43.62211
Six Rivers Market,1,Sandpoint,ID,http://www.sixriversmarket.com/,.,0,0,1,0,.,0,0,1,0,1,1,1,1,0,1,1,,,,,,,,,,,,,,,,-116.55325,48.27659
"Gourmet Gorilla, Inc",1,Chicago,IL,https://www.gourmetgorilla.com/,.,1,1,0,1,s corp,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,-87.62442,41.87555
Irv & Shelly's Fresh Picks,1,Niles,IL,https://www.freshpicks.com/,.,0,1,0,1,.,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,-87.81223,42.02893
Angelic Organics Learning Center - Roots and Wings Network,1,Rockford,IL,http://www.learngrowconnect.org/urban/rockford,education; farm,1,0,0,1,non-profit,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,1,0,-89.09397,42.27139
Healthy Food Hub,1,Chicago,IL,http://www.healthyfoodhub.org/,.,1,1,0,0,non-profit,0,0,1,0,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,0,0,0,1,0,1,0,-87.69208,41.70205
Fresh Moves Mobile Produce Market,1,Chicago,IL,N/A,.,0,1,0,0,.,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,-87.62442,41.87555
"Chicago Local Foods, LLC dba Local Foods",1,Chicago,IL,http://localfoods.com/,.,0,1,0,0,LLC,0,1,0,0,1,1,1,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,-87.62442,41.87555
Goodness Greenness,1,Chicago,IL,http://www.goodnessgreeness.com/eSource/default/Login.aspx?role=customer,.,0,1,0,0,.,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,-87.62442,41.87555
Stewards of the Land,1,Fairbury,IL,http://www.thestewardsoftheland.com/,.,0,1,0,0,LLC,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,-88.51478,40.74726
Red Meat Market,1,Chicago,IL,https://www.redmeatmarket.com/,.,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-87.62442,41.87555
Windcrest Dairy Inc,1,Trenton,IL,http://windcrestdairy.com/about_us.html,.,0,1,0,0,.,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-74.74295,40.21706
Good Earth Food Alliance CSA,1,Farmington,IL,http://www.goodearthfoodalliance.com/,.,1,0,0,0,LLC,0,0,1,0,1,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,-108.20892,36.73043
Green B.E.A.N Delivery,1,Indianapolis,IN,http://greenbeandelivery.com/,.,0,1,0,1,.,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,-86.15835,39.76833
Hoosier Harvest Market,1,Greenfield,IN,http://hoosierharvestmarket.com/,.,0,1,0,1,non-profit,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,-85.7682,39.78551
"This Old Farm, Inc",1,Colfax,IN,http://www.thisoldfarminc.com/,.,0,1,0,0,.,0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,,1,1,-86.66723,40.19504
Rolling Prairie Farmers Alliance,1,Lawrence,KS,http://www.rollingprairie.net/,.,0,0,1,0,.,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,-95.23595,38.97194
Good Natured Family Farms,1,Bronson,KS,http://www.goodnaturedfamilyfarms.com/,.,1,1,0,0,.,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-95.07331,37.89587
Campbell County Beef Association,1,Cold Spring,KY,http://www.campbellcountybeef.com/,.,0,0,1,0,cooperative,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,-84.43994,39.02173
Grow Farms (Horton Fruit Company),1,Louisville,KY,http://www.growfarms.com/,.,0,1,0,0,.,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,-85.75941,38.25424
Holly Grove Market and Farm,1,New Orleans,LA,https://hollygrovemarket.com/,.,0,1,0,1,LLC,0,1,0,0,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,-90.07012,29.94993
"Jack & Jake's, Inc",1,New Orleans,LA,http://www.jackandjakes.com,hybrid; farm to consumer; farm to business/institution (online ordering),0,1,0,0,private,0,1,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,-90.07012,29.94993
Berkshire Organics Delivery,1,Dalton,MA,http://www.berkshireorganics.com,market; aggregator; home delivery; retail food-hub,0,1,0,1,family-owned,0,1,0,0,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,-73.16621,42.4737
Massachusetts Local Food Cooperative,1,Sterling,MA,http://www.masslocalfood.org/,.,0,1,0,1,c-corp,0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,-71.76063,42.43759
Boston Organics,1,Charlestown,MA,http://www.bostonorganics.com,aggregator; box scheme; home and office delivery,0,1,0,1,B-corp,0,1,0,0,1,1,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,-71.062,42.37787
Common Wealth CSA,1,Greenfield,MA,http://justroots.org/farm/common-wealth-csa/,.,1,0,1,0,non-profit,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,-72.60062,42.5878
OR FoodEx,1,Lexington,MA,http://orfoodex.com/,.,0,1,0,0,LLC,0,0,1,0,1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,-71.2245,42.44732
South Shore Organics,1,Duxbury,MA,http://southshoreorganics.com/,.,0,1,0,0,.,0,0,1,0,1,1,0,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,-70.67226,42.04177
Farm Direct Coop,1,Marblehead,MA,http://www.farmdirectcoop.org/,.,0,1,0,0,cooperative,0,1,0,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,-70.85783,42.5001
Red Tomato,1,Canton,MA,http://www.redtomato.org/,multi-farm direct-to-wholesale food business chains,0,1,0,0,non-profit,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,-71.14477,42.15843
Western MA Food Processing Center,1,Greenfield,MA,http://www.fccdc.org/about-the-center,.,0,1,0,0,.,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,-72.60062,42.5878
"Northeast Family Farms, LLC",1,Woburn,MA,http://www.northeastfamilyfarms.com/,.,0,1,0,0,LLC,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,-71.15228,42.47926
Azuluna,1,North Grafton,MA,http://azulunabrands.com/Contacts/Contacts.html,producer program; distributor,0,1,0,0,LLC,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,-71.70785,42.23343
Sustainable Nantucket's Farmers & Artisans Market,1,Nantucket,MA,http://www.sustainablenantucket.org/,.,0,0,0,0,.,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,-70.06831,41.26572
Friends and Farms,1,Columbia,MD,https://www.friendsandfarms.com/,.,0,1,1,1,,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,-76.8582,39.21562
"Garrett Growers Cooperative, LLC",1,Oakland,MD,http://www.garrettgrowers.com/,.,1,0,1,1,LLC,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-79.40671,39.40787
Hometown Harvest,1,Frederick,MD,http://www.hometownharvest.com/home.php,.,0,1,0,1,LLC,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,-77.41058,39.41444
Washington's Green Grocer,1,Capital Heights,MD,https://www.washingtonsgreengrocer.com/,.,0,1,0,1,.,0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-76.97021,38.80879
Crown O' Maine Organic Cooperative,1,North Vassalboro,ME,http://www.crownofmainecoop.com/,.,0,1,1,1,cooperative,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,-69.62254,44.48618
World PEAS Marketing Cooperative,1,Lowell,ME,http://nesfp.org/worldpeas,.,1,1,0,0,.,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,-68.4678,45.18784
Fresh Start Farms CSA,1,Portland,ME,https://www.cultivatingcommunity.org/buy-our-produce/fresh-start-farms-csa/,.,1,1,0,0,.,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,-70.30955,43.64707
Farm Fresh Connection LLC,1,Freeport,ME,http://www.farmfreshconnection.org/farm_fresh_CONNECTION/Welcome.html,.,0,1,0,0,LLC,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,-70.10311,43.85702
"Northern Girl, LLC",1,Limestone,ME,http://northerngirlmaine.com/,.,0,1,0,0,LLC,0,1,0,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,-67.82585,46.90866
West Michigan Cooperative,1,Grand Rapids,MI,http://www.westmichigancoop.com/,.,0,0,1,1,.,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,-85.66786,42.96324
Harvest Michigan,1,Clarkston,MI,http://www.harvestmichigan.com/,.,0,1,0,1,c-corp,0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,-83.43966,42.70864
Cherry Capital Foods,1,Traverse City,MI,http://cherrycapitalfoods.com,distributor,0,1,0,0,LLC,0,0,1,0,1,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,-85.57988,44.73764
Walsma and Lyons,1,Byron Center,MI,http://walsmalyons.com/,.,0,1,0,0,.,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-85.72281,42.81225
Eastern Market,1,Detroit,MI,http://www.easternmarket.com/,.,0,1,0,0,.,0,1,0,0,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,,0,0,0,-83.05674,42.34866
Co-op Partners Warehouse,1,St. Paul,MN,http://www.cooppartners.coop/,multi-farm direct-to-consumer business chains,0,1,1,0,.,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-93.1015,44.9504
Sprout MN,1,Brainerd,MN,http://sproutmn.com/,.,1,1,0,0,.,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,-94.20083,46.35802
Twin Cities Local Food,1,Webster,MN,http://www.localfoodmarketplace.com/twincities/,.,0,1,0,0,.,0,0,1,0,1,1,1,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,-93.35272,44.52969
Big River Farms (Minnesota Food Association),1,Marine on St. Croix,MN,http://www.mnfoodassociation.org/big-river-farms-csa,multiple farmer CSA,1,0,0,0,non-profit,0,0,1,0,1,0,0,0,0,0,,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,-92.78022,45.19773
Hmong American Farmers Association,1,St. Paul,MN,http://www.hmongfarmers.com/,.,0,0,0,0,.,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,-93.10597,44.9416
Thousand Hills Cattle Company,1,Cannon Falls,MN,http://www.thousandhillscattleco.com/,.,0,0,0,0,.,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,-92.88222,44.51624
Lorentz Meats,1,Cannon Falls,MN,http://www.lorentzmeats.com/,value-added food production,,,,,.,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,-92.88222,44.51624
Farmer Girl Grassfed & Pasture Raised Meats,1,Warrenton,MO,http://farmergirlmeats.com/,.,0,1,0,1,.,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,-91.14154,38.81144
Fields Foods,1,St. Louis,MO,http://fieldsfoods.com/about-us#.,.,0,1,0,0,.,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,-90.43782,38.52347
"Fresh Food Express, LLC",1,Kansas City,MO,http://www.freshfoodexpress.com/,.,0,1,0,0,LLC,0,1,0,0,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,-94.56303,39.08447
Root Cellar,1,Columbia,MO,http://www.rootcellarmo.com/,.,0,1,0,0,.,0,0,1,0,1,1,1,1,0,0,0,,1,1,1,0,1,0,0,0,0,0,0,0,0,0,-92.23329,38.77391
Webb City Farmers Market,1,Webb City,MO,http://www.webbcityfarmersmarket.com/,.,0,1,0,0,.,0,0,1,0,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,-94.463,37.14645
Eat Here St Louis LLC,1,St. Louis,MO,http://www.eatherestl.com/,.,0,1,0,0,LLC,0,1,0,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-90.19789,38.62727
Beans and Greens Mobile Market,1,Kansas City,MO,http://beansandgreens.org,SNAP match program at farmers markets,0,0,0,0,non-profit,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,-94.56303,39.08447
